accuracy,precision,recall,fps,avg_landmark_confidence,detection_rate
0.0,0.0,0.0,37.1,0.0,0.0
0.0,0.0,0.0,27.8,0.0,81.25
0.0,0.0,0.0,27.5,0.0,93.33
0.0,0.0,0.0,27.1,0.0,100.0
0.0,0.0,0.0,26.6,0.0,100.0
