accuracy,precision,recall,fps,avg_landmark_confidence,detection_rate
0.0,0.0,0.0,23.3,0.0,0.0
0.0,0.0,0.0,49.4,0.0,0.0
0.0,0.0,0.0,45.4,0.0,0.0
0.0,0.0,0.0,46.2,0.0,0.0
0.0,0.0,0.0,45.6,0.0,0.0
