accuracy,precision,recall,fps,avg_landmark_confidence,detection_rate
0.0,0.0,0.0,37.1,0.0,0.0
0.0,0.0,0.0,26.0,0.0,75.0
0.0,0.0,0.0,26.5,0.0,90.0
0.0,0.0,0.0,26.6,0.0,100.0
0.0,0.0,0.0,26.1,0.0,100.0
