accuracy,precision,recall,f1_score,fps,avg_landmark_confidence,detection_rate,jitter,prediction_accuracy,stability
0,0,0.0,0,52.7,0,0.0,0,0,100.0
0.0,0.0,66.67,0.0,26.8,0.0,93.75,1.11,98.02,100.0
0.0,0.0,33.33,0.0,27.4,0.0,96.77,1.56,97.3,100.0
0.0,0.0,22.22,0.0,27.5,0.0,97.83,1.73,96.9,100.0
0.0,0.0,16.67,0.0,26.7,0.0,98.36,1.88,96.64,100.0
