accuracy,precision,recall,fps,avg_landmark_confidence,detection_rate
0.0,0.0,0.0,52.7,0.0,0.0
0.0,0.0,0.0,29.0,0.0,87.5
0.0,0.0,0.0,26.2,0.0,96.67
0.0,0.0,0.0,26.6,0.0,100.0
0.0,0.0,0.0,26.6,0.0,100.0
