accuracy,precision,recall,f1_score,fps,avg_landmark_confidence,detection_rate,jitter,prediction_accuracy,stability
100.0,100.0,100.0,100.0,5.8,0.0,100.0,0.0,0.0,100.0
100.0,100.0,100.0,100.0,24.2,0.0,100.0,2.0,95.88,100.0
96.77,96.77,100.0,98.36,25.6,0.0,100.0,1.93,95.61,100.0
97.83,97.83,100.0,98.9,27.0,0.0,100.0,1.7,96.07,100.0
96.72,96.72,100.0,98.33,27.7,0.0,100.0,1.66,96.15,100.0
