accuracy,precision,recall,f1_score,fps,avg_landmark_confidence,detection_rate,jitter,prediction_accuracy,stability
100.0,100.0,100.0,100.0,5.3,0.0,100.0,0.0,0.0,100.0
100.0,100.0,100.0,100.0,24.1,0.0,100.0,2.58,94.8,100.0
100.0,100.0,100.0,100.0,27.4,0.0,100.0,2.97,93.91,100.0
97.83,97.83,100.0,98.9,28.8,0.0,100.0,3.02,93.4,100.0
96.72,96.72,100.0,98.33,28.5,0.0,100.0,2.8,93.58,100.0
