accuracy,precision,recall,f1_score,fps,avg_landmark_confidence,detection_rate,jitter,prediction_accuracy,stability
100.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,100.0
93.75,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,100.0
87.1,75.0,50.0,60.0,30.0,0.0,12.9,129.22,22.81,100.0
89.13,89.47,85.0,87.18,30.0,0.0,41.3,12.57,65.4,100.0
91.8,94.12,91.43,92.75,30.0,0.0,55.74,7.64,77.7,100.0
