accuracy,precision,recall,f1_score,fps,avg_landmark_confidence,detection_rate,jitter,prediction_accuracy,stability
100.0,100.0,100.0,100.0,5.8,0.0,100.0,0.0,0.0,100.0
93.75,93.75,100.0,96.77,24.6,0.0,100.0,1.2,97.59,100.0
93.55,93.55,100.0,96.67,27.2,0.0,100.0,1.2,97.4,100.0
93.48,93.48,100.0,96.63,28.8,0.0,100.0,1.2,96.99,100.0
95.08,95.08,100.0,97.48,29.1,0.0,100.0,1.27,96.77,100.0
