accuracy,precision,recall,f1_score,fps,avg_landmark_confidence,detection_rate,jitter,prediction_accuracy,stability
100.0,100.0,100.0,100.0,5.6,0.0,100.0,0.0,0.0,100.0
100.0,100.0,100.0,100.0,23.6,0.0,100.0,1.54,96.38,100.0
93.55,93.55,100.0,96.67,26.9,0.0,100.0,1.61,96.12,100.0
93.48,93.48,100.0,96.63,28.0,0.0,100.0,1.6,96.2,100.0
95.08,95.08,100.0,97.48,28.5,0.0,100.0,2.2,94.78,100.0
