accuracy,precision,recall,f1_score,fps,avg_landmark_confidence,detection_rate,jitter,prediction_accuracy,stability
100.0,100.0,100.0,100.0,6.3,0.0,100.0,0.0,0.0,100.0
93.75,93.75,100.0,96.77,24.2,0.0,100.0,8.28,85.85,100.0
96.77,96.77,100.0,98.36,27.5,0.0,100.0,5.68,89.71,100.0
95.65,95.65,100.0,97.78,29.1,0.0,100.0,4.66,91.25,100.0
96.72,96.72,100.0,98.33,29.1,0.0,100.0,3.9,92.4,100.0
