accuracy,precision,recall,f1_score,fps,avg_landmark_confidence,detection_rate,jitter,prediction_accuracy,stability
100.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,100.0
93.75,93.33,100.0,96.55,23.6,0.0,93.75,2.91,93.57,100.0
93.55,93.33,100.0,96.55,26.9,0.0,96.77,2.82,93.25,100.0
93.48,93.33,100.0,96.55,28.2,0.0,97.83,2.99,92.6,100.0
93.44,93.33,100.0,96.55,28.4,0.0,98.36,3.25,92.09,100.0
